,datebymonth,HeroinCrimes
0,2015.06,63
1,2015.07,145
2,2015.08,122
3,2015.09,116
4,2015.10,184
5,2015.11,128
6,2015.12,103
7,2016.01,99
8,2016.02,145
9,2016.03,162
10,2016.04,126
11,2016.05,141
12,2016.06,141
13,2016.07,111
14,2016.08,106
15,2016.09,112
16,2016.10,101
17,2016.11,80
18,2016.12,63
19,2017.01,117
20,2017.02,89
21,2017.03,159
22,2017.04,112
23,2017.05,130
24,2017.06,123
25,2017.07,114
26,2017.08,137
27,2017.09,134
28,2017.10,141
29,2017.11,134
30,2017.12,100
31,2018.01,110
32,2018.02,127
33,2018.03,133
34,2018.04,153
35,2018.05,155
36,2018.06,145
37,2018.07,161
38,2018.08,125
39,2018.09,163
40,2018.10,137
41,2018.11,22
